codigo;Data;Visita OTIF;OT;IF;OTIF
0296708;01/03/2024;0001-0005937-01/03/2024-531020;Sim;Sim;Sim
0296708;01/03/2024;0001-0005940-01/03/2024-530993;Não;Não;Não
0296708;01/03/2024;0001-0005940-01/03/2024-531022;Sim;Sim;Sim
0296708;01/03/2024;0001-0005984-01/03/2024-531057;Sim;Sim;Sim
0296708;01/03/2024;0001-0006013-01/03/2024-531021;Sim;Sim;Sim
0296708;01/03/2024;0001-0006022-01/03/2024-531021;Sim;Sim;Sim
0296708;01/03/2024;0001-0006064-01/03/2024-531029;Sim;Sim;Sim
0296708;01/03/2024;0001-0006091-01/03/2024-531068;Não;Sim;Não
0296708;01/03/2024;0001-0006194-01/03/2024-531022;Sim;Sim;Sim
0296708;01/03/2024;0001-0006237-01/03/2024-531037;Sim;Sim;Sim
0296708;01/03/2024;0001-0006269-01/03/2024-531056;Sim;Sim;Sim
0296708;01/03/2024;0001-0006296-01/03/2024-531058;Sim;Sim;Sim
0296708;01/03/2024;0001-0006387-01/03/2024-531059;Sim;Sim;Sim
0296708;01/03/2024;0001-0006390-01/03/2024-531023;Sim;Sim;Sim
0296708;01/03/2024;0001-0006420-01/03/2024-531051;Sim;Sim;Sim
0296708;01/03/2024;0001-0006425-01/03/2024-531014;Sim;Sim;Sim
0296708;01/03/2024;0001-0006436-01/03/2024-531018;Sim;Sim;Sim
0296708;01/03/2024;0001-0006438-01/03/2024-531024;Sim;Sim;Sim
0296708;01/03/2024;0001-0006451-01/03/2024-531029;Sim;Sim;Sim
0296708;01/03/2024;0001-0006551-01/03/2024-531058;Sim;Sim;Sim
0296708;01/03/2024;0001-0006560-01/03/2024-531059;Sim;Sim;Sim
0296708;01/03/2024;0001-0006570-01/03/2024-531016;Sim;Sim;Sim
0296708;01/03/2024;0001-0006581-01/03/2024-531045;Sim;Sim;Sim
0296708;01/03/2024;0001-0006597-01/03/2024-531061;Sim;Sim;Sim
0296708;01/03/2024;0001-0006608-01/03/2024-531023;Sim;Sim;Sim
0296708;01/03/2024;0001-0006694-01/03/2024-531019;Sim;Sim;Sim
0296708;01/03/2024;0001-0006696-01/03/2024-531015;Sim;Sim;Sim
0296708;01/03/2024;0001-0006726-01/03/2024-531062;Sim;Não;Não
